workload,structure,n,m,repetition,elapsed_ns,accesses,movements,comparisons,batches,checksum
random_access,DynamicArray,100,10000,1,72700,10000,0,0,1,10072574508
search,DynamicArray,100,1000,1,42100,75130,0,75130,1,500
insert_front,DynamicArray,100,1000,1,1942900,601420,601420,0,1,1100
remove_front,DynamicArray,100,1000,1,30800,50500,49500,0,10,1004698940
insert_middle,DynamicArray,100,1000,1,133100,551420,551420,0,1,1100
remove_middle,DynamicArray,100,1000,1,21600,25500,24500,0,20,1093922600
random_access,LinkedList,100,10000,1,430400,511327,0,0,1,10072574508
search,LinkedList,100,1000,1,108500,75130,0,75130,1,500
insert_front,LinkedList,100,1000,1,20000,0,0,0,1,1100
remove_front,LinkedList,100,1000,1,22800,1000,0,0,10,1004698940
insert_middle,LinkedList,100,1000,1,95300,50000,0,0,1,1100
remove_middle,LinkedList,100,1000,1,102900,51000,0,0,20,1093922600
heap_insert,MinHeap,100,100,1,23700,0,0,194,1,100
heap_extract,MinHeap,100,100,1,57600,0,0,841,1,100469894
random_access,LinkedList,100,10000,2,353500,511327,0,0,1,10072574508
search,LinkedList,100,1000,2,107300,75130,0,75130,1,500
insert_front,LinkedList,100,1000,2,18300,0,0,0,1,1100
remove_front,LinkedList,100,1000,2,17800,1000,0,0,10,1004698940
insert_middle,LinkedList,100,1000,2,62200,50000,0,0,1,1100
remove_middle,LinkedList,100,1000,2,66500,51000,0,0,20,1093922600
random_access,DynamicArray,100,10000,2,43800,10000,0,0,1,10072574508
search,DynamicArray,100,1000,2,52700,75130,0,75130,1,500
insert_front,DynamicArray,100,1000,2,62400,601420,601420,0,1,1100
remove_front,DynamicArray,100,1000,2,23500,50500,49500,0,10,1004698940
insert_middle,DynamicArray,100,1000,2,60600,551420,551420,0,1,1100
remove_middle,DynamicArray,100,1000,2,20500,25500,24500,0,20,1093922600
heap_insert,MinHeap,100,100,2,13800,0,0,194,1,100
heap_extract,MinHeap,100,100,2,14100,0,0,841,1,100469894
random_access,DynamicArray,100,10000,3,62200,10000,0,0,1,10072574508
search,DynamicArray,100,1000,3,101100,75130,0,75130,1,500
insert_front,DynamicArray,100,1000,3,65800,601420,601420,0,1,1100
remove_front,DynamicArray,100,1000,3,31600,50500,49500,0,10,1004698940
insert_middle,DynamicArray,100,1000,3,103600,551420,551420,0,1,1100
remove_middle,DynamicArray,100,1000,3,31300,25500,24500,0,20,1093922600
random_access,LinkedList,100,10000,3,479200,511327,0,0,1,10072574508
search,LinkedList,100,1000,3,108300,75130,0,75130,1,500
insert_front,LinkedList,100,1000,3,21800,0,0,0,1,1100
remove_front,LinkedList,100,1000,3,26000,1000,0,0,10,1004698940
insert_middle,LinkedList,100,1000,3,44400,50000,0,0,1,1100
remove_middle,LinkedList,100,1000,3,41500,51000,0,0,20,1093922600
heap_insert,MinHeap,100,100,3,4100,0,0,194,1,100
heap_extract,MinHeap,100,100,3,7800,0,0,841,1,100469894
random_access,LinkedList,100,10000,4,512200,511327,0,0,1,10072574508
search,LinkedList,100,1000,4,120900,75130,0,75130,1,500
insert_front,LinkedList,100,1000,4,35900,0,0,0,1,1100
remove_front,LinkedList,100,1000,4,24000,1000,0,0,10,1004698940
insert_middle,LinkedList,100,1000,4,85100,50000,0,0,1,1100
remove_middle,LinkedList,100,1000,4,59100,51000,0,0,20,1093922600
random_access,DynamicArray,100,10000,4,144800,10000,0,0,1,10072574508
search,DynamicArray,100,1000,4,41100,75130,0,75130,1,500
insert_front,DynamicArray,100,1000,4,67000,601420,601420,0,1,1100
remove_front,DynamicArray,100,1000,4,21700,50500,49500,0,10,1004698940
insert_middle,DynamicArray,100,1000,4,56500,551420,551420,0,1,1100
remove_middle,DynamicArray,100,1000,4,20000,25500,24500,0,20,1093922600
heap_insert,MinHeap,100,100,4,4100,0,0,194,1,100
heap_extract,MinHeap,100,100,4,7700,0,0,841,1,100469894
random_access,DynamicArray,100,10000,5,34500,10000,0,0,1,10072574508
search,DynamicArray,100,1000,5,40700,75130,0,75130,1,500
insert_front,DynamicArray,100,1000,5,56700,601420,601420,0,1,1100
remove_front,DynamicArray,100,1000,5,35300,50500,49500,0,10,1004698940
insert_middle,DynamicArray,100,1000,5,88300,551420,551420,0,1,1100
remove_middle,DynamicArray,100,1000,5,31700,25500,24500,0,20,1093922600
random_access,LinkedList,100,10000,5,483200,511327,0,0,1,10072574508
search,LinkedList,100,1000,5,196700,75130,0,75130,1,500
insert_front,LinkedList,100,1000,5,19800,0,0,0,1,1100
remove_front,LinkedList,100,1000,5,18300,1000,0,0,10,1004698940
insert_middle,LinkedList,100,1000,5,40100,50000,0,0,1,1100
remove_middle,LinkedList,100,1000,5,43200,51000,0,0,20,1093922600
heap_insert,MinHeap,100,100,5,5000,0,0,194,1,100
heap_extract,MinHeap,100,100,5,9900,0,0,841,1,100469894
random_access,DynamicArray,1000,10000,1,34000,10000,0,0,1,10023532102
search,DynamicArray,1000,1000,1,234100,751127,0,751127,1,500
insert_front,DynamicArray,1000,1000,1,88200,1500524,1500524,0,1,2000
remove_front,DynamicArray,1000,1000,1,37300,500500,499500,0,1,997325240
insert_middle,DynamicArray,1000,1000,1,59800,1000524,1000524,0,1,2000
remove_middle,DynamicArray,1000,1000,1,24400,250500,249500,0,2,982067792
random_access,LinkedList,1000,10000,1,5169000,5021262,0,0,1,10023532102
search,LinkedList,1000,1000,1,864000,751127,0,751127,1,500
insert_front,LinkedList,1000,1000,1,8200,0,0,0,1,2000
remove_front,LinkedList,1000,1000,1,4700,1000,0,0,1,997325240
insert_middle,LinkedList,1000,1000,1,508100,500000,0,0,1,2000
remove_middle,LinkedList,1000,1000,1,509500,501000,0,0,2,982067792
heap_insert,MinHeap,1000,1000,1,34900,0,0,2232,1,1000
heap_extract,MinHeap,1000,1000,1,49700,0,0,14994,1,997325240
random_access,LinkedList,1000,10000,2,5080300,5021262,0,0,1,10023532102
search,LinkedList,1000,1000,2,866200,751127,0,751127,1,500
insert_front,LinkedList,1000,1000,2,5500,0,0,0,1,2000
remove_front,LinkedList,1000,1000,2,4400,1000,0,0,1,997325240
insert_middle,LinkedList,1000,1000,2,514600,500000,0,0,1,2000
remove_middle,LinkedList,1000,1000,2,511800,501000,0,0,2,982067792
random_access,DynamicArray,1000,10000,2,31900,10000,0,0,1,10023532102
search,DynamicArray,1000,1000,2,346000,751127,0,751127,1,500
insert_front,DynamicArray,1000,1000,2,88600,1500524,1500524,0,1,2000
remove_front,DynamicArray,1000,1000,2,35300,500500,499500,0,1,997325240
insert_middle,DynamicArray,1000,1000,2,70800,1000524,1000524,0,1,2000
remove_middle,DynamicArray,1000,1000,2,26400,250500,249500,0,2,982067792
heap_insert,MinHeap,1000,1000,2,35500,0,0,2232,1,1000
heap_extract,MinHeap,1000,1000,2,48700,0,0,14994,1,997325240
random_access,DynamicArray,1000,10000,3,51600,10000,0,0,1,10023532102
search,DynamicArray,1000,1000,3,233700,751127,0,751127,1,500
insert_front,DynamicArray,1000,1000,3,87700,1500524,1500524,0,1,2000
remove_front,DynamicArray,1000,1000,3,36100,500500,499500,0,1,997325240
insert_middle,DynamicArray,1000,1000,3,59700,1000524,1000524,0,1,2000
remove_middle,DynamicArray,1000,1000,3,24300,250500,249500,0,2,982067792
random_access,LinkedList,1000,10000,3,5172500,5021262,0,0,1,10023532102
search,LinkedList,1000,1000,3,882700,751127,0,751127,1,500
insert_front,LinkedList,1000,1000,3,5300,0,0,0,1,2000
remove_front,LinkedList,1000,1000,3,5200,1000,0,0,1,997325240
insert_middle,LinkedList,1000,1000,3,510700,500000,0,0,1,2000
remove_middle,LinkedList,1000,1000,3,509100,501000,0,0,2,982067792
heap_insert,MinHeap,1000,1000,3,45300,0,0,2232,1,1000
heap_extract,MinHeap,1000,1000,3,48900,0,0,14994,1,997325240
random_access,LinkedList,1000,10000,4,5279400,5021262,0,0,1,10023532102
search,LinkedList,1000,1000,4,853700,751127,0,751127,1,500
insert_front,LinkedList,1000,1000,4,10800,0,0,0,1,2000
remove_front,LinkedList,1000,1000,4,4400,1000,0,0,1,997325240
insert_middle,LinkedList,1000,1000,4,506600,500000,0,0,1,2000
remove_middle,LinkedList,1000,1000,4,497900,501000,0,0,2,982067792
random_access,DynamicArray,1000,10000,4,64200,10000,0,0,1,10023532102
search,DynamicArray,1000,1000,4,234500,751127,0,751127,1,500
insert_front,DynamicArray,1000,1000,4,81700,1500524,1500524,0,1,2000
remove_front,DynamicArray,1000,1000,4,73300,500500,499500,0,1,997325240
insert_middle,DynamicArray,1000,1000,4,108100,1000524,1000524,0,1,2000
remove_middle,DynamicArray,1000,1000,4,27300,250500,249500,0,2,982067792
heap_insert,MinHeap,1000,1000,4,30700,0,0,2232,1,1000
heap_extract,MinHeap,1000,1000,4,54100,0,0,14994,1,997325240
random_access,DynamicArray,1000,10000,5,68400,10000,0,0,1,10023532102
search,DynamicArray,1000,1000,5,254200,751127,0,751127,1,500
insert_front,DynamicArray,1000,1000,5,88900,1500524,1500524,0,1,2000
remove_front,DynamicArray,1000,1000,5,35000,500500,499500,0,1,997325240
insert_middle,DynamicArray,1000,1000,5,90800,1000524,1000524,0,1,2000
remove_middle,DynamicArray,1000,1000,5,25900,250500,249500,0,2,982067792
random_access,LinkedList,1000,10000,5,6318000,5021262,0,0,1,10023532102
search,LinkedList,1000,1000,5,1114800,751127,0,751127,1,500
insert_front,LinkedList,1000,1000,5,6200,0,0,0,1,2000
remove_front,LinkedList,1000,1000,5,4600,1000,0,0,1,997325240
insert_middle,LinkedList,1000,1000,5,510800,500000,0,0,1,2000
remove_middle,LinkedList,1000,1000,5,511600,501000,0,0,2,982067792
heap_insert,MinHeap,1000,1000,5,23700,0,0,2232,1,1000
heap_extract,MinHeap,1000,1000,5,48900,0,0,14994,1,997325240
random_access,DynamicArray,10000,10000,1,89900,10000,0,0,1,9972284440
search,DynamicArray,10000,1000,1,2129200,7451537,0,7451537,1,500
insert_front,DynamicArray,10000,1000,1,307900,10499500,10499500,0,1,11000
remove_front,DynamicArray,10000,1000,1,423800,9500500,9499500,0,1,997325240
insert_middle,DynamicArray,10000,1000,1,149500,5499500,5499500,0,1,11000
remove_middle,DynamicArray,10000,1000,1,198400,4500500,4499500,0,1,996648552
random_access,LinkedList,10000,10000,1,57178900,50188951,0,0,1,9972284440
search,LinkedList,10000,1000,1,8735600,7451537,0,7451537,1,500
insert_front,LinkedList,10000,1000,1,135200,0,0,0,1,11000
remove_front,LinkedList,10000,1000,1,27900,1000,0,0,1,997325240
insert_middle,LinkedList,10000,1000,1,10014300,5000000,0,0,1,11000
remove_middle,LinkedList,10000,1000,1,6597100,5001000,0,0,1,996648552
heap_insert,MinHeap,10000,10000,1,264000,0,0,22593,1,10000
heap_extract,MinHeap,10000,10000,1,582200,0,0,216736,1,9983317932
random_access,LinkedList,10000,10000,2,60889000,50188951,0,0,1,9972284440
search,LinkedList,10000,1000,2,8335000,7451537,0,7451537,1,500
insert_front,LinkedList,10000,1000,2,75700,0,0,0,1,11000
remove_front,LinkedList,10000,1000,2,34300,1000,0,0,1,997325240
insert_middle,LinkedList,10000,1000,2,5860400,5000000,0,0,1,11000
remove_middle,LinkedList,10000,1000,2,7485000,5001000,0,0,1,996648552
random_access,DynamicArray,10000,10000,2,13800,10000,0,0,1,9972284440
search,DynamicArray,10000,1000,2,3807000,7451537,0,7451537,1,500
insert_front,DynamicArray,10000,1000,2,475900,10499500,10499500,0,1,11000
remove_front,DynamicArray,10000,1000,2,482200,9500500,9499500,0,1,997325240
insert_middle,DynamicArray,10000,1000,2,272300,5499500,5499500,0,1,11000
remove_middle,DynamicArray,10000,1000,2,228200,4500500,4499500,0,1,996648552
heap_insert,MinHeap,10000,10000,2,329700,0,0,22593,1,10000
heap_extract,MinHeap,10000,10000,2,651700,0,0,216736,1,9983317932
random_access,DynamicArray,10000,10000,3,13500,10000,0,0,1,9972284440
search,DynamicArray,10000,1000,3,2799300,7451537,0,7451537,1,500
insert_front,DynamicArray,10000,1000,3,861800,10499500,10499500,0,1,11000
remove_front,DynamicArray,10000,1000,3,481600,9500500,9499500,0,1,997325240
insert_middle,DynamicArray,10000,1000,3,264800,5499500,5499500,0,1,11000
remove_middle,DynamicArray,10000,1000,3,207500,4500500,4499500,0,1,996648552
random_access,LinkedList,10000,10000,3,69185500,50188951,0,0,1,9972284440
search,LinkedList,10000,1000,3,8395700,7451537,0,7451537,1,500
insert_front,LinkedList,10000,1000,3,6300,0,0,0,1,11000
remove_front,LinkedList,10000,1000,3,11300,1000,0,0,1,997325240
insert_middle,LinkedList,10000,1000,3,5620700,5000000,0,0,1,11000
remove_middle,LinkedList,10000,1000,3,5498100,5001000,0,0,1,996648552
heap_insert,MinHeap,10000,10000,3,233900,0,0,22593,1,10000
heap_extract,MinHeap,10000,10000,3,690800,0,0,216736,1,9983317932
random_access,LinkedList,10000,10000,4,58335600,50188951,0,0,1,9972284440
search,LinkedList,10000,1000,4,8312300,7451537,0,7451537,1,500
insert_front,LinkedList,10000,1000,4,4100,0,0,0,1,11000
remove_front,LinkedList,10000,1000,4,4700,1000,0,0,1,997325240
insert_middle,LinkedList,10000,1000,4,5487000,5000000,0,0,1,11000
remove_middle,LinkedList,10000,1000,4,9107200,5001000,0,0,1,996648552
random_access,DynamicArray,10000,10000,4,12900,10000,0,0,1,9972284440
search,DynamicArray,10000,1000,4,2078200,7451537,0,7451537,1,500
insert_front,DynamicArray,10000,1000,4,454000,10499500,10499500,0,1,11000
remove_front,DynamicArray,10000,1000,4,406000,9500500,9499500,0,1,997325240
insert_middle,DynamicArray,10000,1000,4,246600,5499500,5499500,0,1,11000
remove_middle,DynamicArray,10000,1000,4,196400,4500500,4499500,0,1,996648552
heap_insert,MinHeap,10000,10000,4,184500,0,0,22593,1,10000
heap_extract,MinHeap,10000,10000,4,678500,0,0,216736,1,9983317932
random_access,DynamicArray,10000,10000,5,12800,10000,0,0,1,9972284440
search,DynamicArray,10000,1000,5,2367300,7451537,0,7451537,1,500
insert_front,DynamicArray,10000,1000,5,464800,10499500,10499500,0,1,11000
remove_front,DynamicArray,10000,1000,5,413700,9500500,9499500,0,1,997325240
insert_middle,DynamicArray,10000,1000,5,245000,5499500,5499500,0,1,11000
remove_middle,DynamicArray,10000,1000,5,196300,4500500,4499500,0,1,996648552
random_access,LinkedList,10000,10000,5,56437700,50188951,0,0,1,9972284440
search,LinkedList,10000,1000,5,10357300,7451537,0,7451537,1,500
insert_front,LinkedList,10000,1000,5,4000,0,0,0,1,11000
remove_front,LinkedList,10000,1000,5,4600,1000,0,0,1,997325240
insert_middle,LinkedList,10000,1000,5,5533900,5000000,0,0,1,11000
remove_middle,LinkedList,10000,1000,5,8866100,5001000,0,0,1,996648552
heap_insert,MinHeap,10000,10000,5,187900,0,0,22593,1,10000
heap_extract,MinHeap,10000,10000,5,680200,0,0,216736,1,9983317932
random_access,DynamicArray,100000,10000,1,13200,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,1,20852800,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,1,5338800,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,1,5492800,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,1,2632400,50499500,50499500,0,1,101000
remove_middle,DynamicArray,100000,1000,1,2650000,49500500,49499500,0,1,1031379518
random_access,LinkedList,100000,10000,1,721757300,504940938,0,0,1,10033739590
search,LinkedList,100000,1000,1,120936400,74711244,0,74711244,1,500
insert_front,LinkedList,100000,1000,1,2900,0,0,0,1,101000
remove_front,LinkedList,100000,1000,1,3100,1000,0,0,1,997325240
insert_middle,LinkedList,100000,1000,1,76445200,50000000,0,0,1,101000
remove_middle,LinkedList,100000,1000,1,60011300,50001000,0,0,1,1031379518
heap_insert,MinHeap,100000,100000,1,1220800,0,0,227662,1,100000
heap_extract,MinHeap,100000,100000,1,7951600,0,0,2831463,1,100070209340
random_access,LinkedList,100000,10000,2,641550400,504940938,0,0,1,10033739590
search,LinkedList,100000,1000,2,139039600,74711244,0,74711244,1,500
insert_front,LinkedList,100000,1000,2,3200,0,0,0,1,101000
remove_front,LinkedList,100000,1000,2,2300,1000,0,0,1,997325240
insert_middle,LinkedList,100000,1000,2,80526800,50000000,0,0,1,101000
remove_middle,LinkedList,100000,1000,2,63543800,50001000,0,0,1,1031379518
random_access,DynamicArray,100000,10000,2,31700,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,2,21732400,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,2,5409300,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,2,7657500,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,2,2693600,50499500,50499500,0,1,101000
remove_middle,DynamicArray,100000,1000,2,4129300,49500500,49499500,0,1,1031379518
heap_insert,MinHeap,100000,100000,2,1381400,0,0,227662,1,100000
heap_extract,MinHeap,100000,100000,2,7520500,0,0,2831463,1,100070209340
random_access,DynamicArray,100000,10000,3,12500,10000,0,0,1,10033739590
search,DynamicArray,100000,1000,3,21255000,74711244,0,74711244,1,500
insert_front,DynamicArray,100000,1000,3,5628600,100499500,100499500,0,1,101000
remove_front,DynamicArray,100000,1000,3,8499000,99500500,99499500,0,1,997325240
insert_middle,DynamicArray,100000,1000,3,3497000,50499500,50499500,0,1,101000
