workload,structure,n,m,mean_ms,stdev_ms,min_ms,max_ms,accesses,movements,comparisons,batches,theory
random_access,DynamicArray,100,10000,0.0716,0.043580557591660074,0.0345,0.1448,10000,0,0,1,Theta(m)
random_access,LinkedList,100,10000,0.4517,0.06226090265969488,0.3535,0.5122,511327,0,0,1,Theta(mn) expected
random_access,DynamicArray,1000,10000,0.05002,0.016780703203382152,0.0319,0.0684,10000,0,0,1,Theta(m)
random_access,LinkedList,1000,10000,5.40384,0.515877885744291,5.0803,6.318,5021262,0,0,1,Theta(mn) expected
random_access,DynamicArray,10000,10000,0.028579999999999998,0.03428143812619301,0.0128,0.0899,10000,0,0,1,Theta(m)
random_access,LinkedList,10000,10000,60.40534,5.190400816218341,56.4377,69.1855,50188951,0,0,1,Theta(mn) expected
random_access,DynamicArray,100000,10000,0.01658,0.008459728128019244,0.0124,0.0317,10000,0,0,1,Theta(m)
random_access,LinkedList,100000,10000,677.2186,31.11961199734021,641.5504,721.7573,504940938,0,0,1,Theta(mn) expected
search,DynamicArray,100,1000,0.05554,0.025947793740509036,0.0407,0.1011,75130,0,75130,1,Theta(mn) expected
search,LinkedList,100,1000,0.12834,0.03862108232559,0.1073,0.1967,75130,0,75130,1,Theta(mn) expected
search,DynamicArray,1000,1000,0.2605,0.04858276443349019,0.2337,0.346,751127,0,751127,1,Theta(mn) expected
search,LinkedList,1000,1000,0.91628,0.11146217744149807,0.8537,1.1148,751127,0,751127,1,Theta(mn) expected
search,DynamicArray,10000,1000,2.6362,0.7138092287159084,2.0782,3.807,7451537,0,7451537,1,Theta(mn) expected
search,LinkedList,10000,1000,8.82718,0.8722344392421111,8.3123,10.3573,7451537,0,7451537,1,Theta(mn) expected
search,DynamicArray,100000,1000,24.265639999999998,6.154816935376713,20.8528,35.2358,74711244,0,74711244,1,Theta(mn) expected
search,LinkedList,100000,1000,114.87348,20.729379191548407,91.3048,139.0396,74711244,0,74711244,1,Theta(mn) expected
insert_front,DynamicArray,100,1000,0.43896,0.840737517302517,0.0567,1.9429,601420,601420,0,1,Theta(mn + m^2)
insert_front,LinkedList,100,1000,0.02316,0.007229315320277571,0.0183,0.0359,0,0,0,1,Theta(m)
insert_front,DynamicArray,1000,1000,0.08702,0.0030078231330980913,0.0817,0.0889,1500524,1500524,0,1,Theta(mn + m^2)
insert_front,LinkedList,1000,1000,0.0072,0.002316246964380094,0.0053,0.0108,0,0,0,1,Theta(m)
insert_front,DynamicArray,10000,1000,0.51288,0.20670512088480053,0.3079,0.8618,10499500,10499500,0,1,Theta(mn + m^2)
insert_front,LinkedList,10000,1000,0.045059999999999996,0.059012735913529714,0.004,0.1352,0,0,0,1,Theta(m)
insert_front,DynamicArray,100000,1000,5.50714,0.1546350477737824,5.3388,5.707,100499500,100499500,0,1,Theta(mn + m^2)
insert_front,LinkedList,100000,1000,0.00384,0.0008264381404557756,0.0029,0.005,0,0,0,1,Theta(m)
remove_front,DynamicArray,100,1000,0.02858,0.005752130040254653,0.0217,0.0353,50500,49500,0,10,Theta(mn) under batching rule
remove_front,LinkedList,100,1000,0.02178,0.0035961090083588953,0.0178,0.026,1000,0,0,10,Theta(m)
remove_front,DynamicArray,1000,1000,0.0434,0.016738279481475986,0.035,0.0733,500500,499500,0,1,Theta(mn) under batching rule
remove_front,LinkedList,1000,1000,0.00466,0.0003286335345030995,0.0044,0.0052,1000,0,0,1,Theta(m)
remove_front,DynamicArray,10000,1000,0.44146,0.0374528770590458,0.406,0.4822,9500500,9499500,0,1,Theta(mn) under batching rule
remove_front,LinkedList,10000,1000,0.01656,0.01373564705428907,0.0046,0.0343,1000,0,0,1,Theta(m)
remove_front,DynamicArray,100000,1000,7.44056,1.1404730917474557,5.4928,8.499,99500500,99499500,0,1,Theta(mn) under batching rule
remove_front,LinkedList,100000,1000,0.00266,0.0003911521443121588,0.0022,0.0031,1000,0,0,1,Theta(m)
insert_middle,DynamicArray,100,1000,0.08842,0.03170011040990236,0.0565,0.1331,551420,551420,0,1,Theta(mn + m^2)
insert_middle,LinkedList,100,1000,0.06541999999999999,0.024358920337322013,0.0401,0.0953,50000,0,0,1,Theta(mn)
insert_middle,DynamicArray,1000,1000,0.07784,0.02114055344592473,0.0597,0.1081,1000524,1000524,0,1,Theta(mn + m^2)
insert_middle,LinkedList,1000,1000,0.5101600000000001,0.0030549959083442024,0.5066,0.5146,500000,0,0,1,Theta(mn)
insert_middle,DynamicArray,10000,1000,0.23564,0.049553234001425174,0.1495,0.2723,5499500,5499500,0,1,Theta(mn + m^2)
insert_middle,LinkedList,10000,1000,6.50326,1.9679955673222438,5.487,10.0143,5000000,0,0,1,Theta(mn)
insert_middle,DynamicArray,100000,1000,2.87396,0.3579128497274161,2.6324,3.497,50499500,50499500,0,1,Theta(mn + m^2)
insert_middle,LinkedList,100000,1000,73.87913999999999,6.378436220814629,63.5029,80.5268,50000000,0,0,1,Theta(mn)
remove_middle,DynamicArray,100,1000,0.02502,0.0059453343051505516,0.02,0.0317,25500,24500,0,20,Theta(mn) under batching rule
remove_middle,LinkedList,100,1000,0.06264,0.024865196560654817,0.0415,0.1029,51000,0,0,20,Theta(mn) under batching rule
remove_middle,DynamicArray,1000,1000,0.02566,0.0012973048986263795,0.0243,0.0273,250500,249500,0,2,Theta(mn) under batching rule
remove_middle,LinkedList,1000,1000,0.50798,0.005763419124096397,0.4979,0.5118,501000,0,0,2,Theta(mn) under batching rule
remove_middle,DynamicArray,10000,1000,0.20536,0.013574350813206498,0.1963,0.2282,4500500,4499500,0,1,Theta(mn) under batching rule
remove_middle,LinkedList,10000,1000,7.5107,1.522481988399206,5.4981,9.1072,5001000,0,0,1,Theta(mn) under batching rule
remove_middle,DynamicArray,100000,1000,3.6653,0.5815425908736178,2.65,4.1293,49500500,49499500,0,1,Theta(mn) under batching rule
remove_middle,LinkedList,100000,1000,67.79982,6.666931942580486,60.0113,77.4597,50001000,0,0,1,Theta(mn) under batching rule
heap_insert,MinHeap,100,100,0.01014,0.00861179423813644,0.0041,0.0237,0,0,194,1,Theta(n) expected random distinct order; O(n log n) worst
heap_insert,MinHeap,1000,1000,0.03402,0.00786968868507516,0.0237,0.0453,0,0,2232,1,Theta(n) expected random distinct order; O(n log n) worst
heap_insert,MinHeap,10000,10000,0.24,0.060112311550962666,0.1845,0.3297,0,0,22593,1,Theta(n) expected random distinct order; O(n log n) worst
heap_insert,MinHeap,100000,100000,1.26826,0.06986464055586343,1.2019,1.3814,0,0,227662,1,Theta(n) expected random distinct order; O(n log n) worst
